ts_utc,btc_usd
2026-07-03T16:53:58Z,61990
2026-07-03T17:06:18Z,62093
2026-07-03T17:37:06Z,62146
2026-07-03T17:50:12Z,62154
2026-07-03T17:59:36Z,62145
2026-07-03T18:05:53Z,62108
2026-07-03T18:10:42Z,62077
2026-07-03T19:42:33Z,62201
2026-07-03T19:44:34Z,62196
2026-07-03T19:46:34Z,62179
2026-07-03T20:29:35Z,62586
2026-07-03T20:31:35Z,62568
2026-07-03T20:33:35Z,62553
2026-07-03T20:45:47Z,62645
2026-07-03T20:47:47Z,62693
2026-07-03T20:49:48Z,62729
2026-07-03T21:16:37Z,62726
2026-07-03T21:18:37Z,62663
2026-07-03T21:20:37Z,62607
2026-07-03T21:40:35Z,62509
2026-07-03T21:42:35Z,62482
2026-07-03T21:44:35Z,62512
2026-07-03T22:16:44Z,62560
2026-07-03T22:18:45Z,62568
2026-07-03T22:20:45Z,62588
2026-07-03T23:29:40Z,62526
2026-07-03T23:31:40Z,62550
2026-07-03T23:33:40Z,62611
2026-07-04T01:09:27Z,62483
2026-07-04T01:11:28Z,62468
2026-07-04T01:13:28Z,62454
2026-07-04T04:49:10Z,62651
2026-07-04T04:51:11Z,62652
2026-07-04T04:53:11Z,62665
2026-07-04T07:32:34Z,62495
2026-07-04T07:34:34Z,62501
2026-07-04T07:36:34Z,62449
2026-07-04T09:39:46Z,62387
2026-07-04T09:41:46Z,62389
2026-07-04T09:43:46Z,62395
2026-07-04T11:10:59Z,62461
2026-07-04T11:12:59Z,62461
2026-07-04T11:15:00Z,62455
2026-07-04T12:17:19Z,62513
2026-07-04T12:19:19Z,62511
2026-07-04T12:21:19Z,62517
2026-07-04T14:02:32Z,62537
2026-07-04T14:04:33Z,62585
2026-07-04T14:06:33Z,62574
2026-07-04T15:15:50Z,62760
2026-07-04T15:17:51Z,62760
2026-07-04T15:19:51Z,62743
2026-07-04T16:16:54Z,62765
2026-07-04T16:18:55Z,62770
2026-07-04T16:20:55Z,62801
2026-07-04T17:30:26Z,62918
2026-07-04T17:32:27Z,62954
2026-07-04T17:34:27Z,63010
2026-07-04T18:34:31Z,63082
2026-07-04T18:36:31Z,63077
2026-07-04T18:38:32Z,63081
2026-07-04T19:48:55Z,63272
2026-07-04T19:50:56Z,63269
2026-07-04T19:52:56Z,63267
2026-07-04T20:39:11Z,63202
2026-07-04T20:41:12Z,63201
2026-07-04T20:43:12Z,63212
2026-07-04T21:38:22Z,63319
2026-07-04T21:40:22Z,63315
2026-07-04T21:42:22Z,63315
2026-07-04T22:37:07Z,63177
2026-07-04T22:39:07Z,63190
2026-07-04T22:41:08Z,63174
2026-07-04T23:39:54Z,63090
2026-07-04T23:41:55Z,63087
2026-07-04T23:43:55Z,63093
2026-07-05T01:23:18Z,62843
2026-07-05T01:25:18Z,62805
2026-07-05T01:27:18Z,62805
2026-07-05T05:27:05Z,62701
2026-07-05T05:29:05Z,62713
2026-07-05T05:31:06Z,62716
2026-07-05T08:25:33Z,62916
2026-07-05T08:27:33Z,62895
2026-07-05T08:29:34Z,62877
2026-07-05T10:36:30Z,62623
2026-07-05T10:38:30Z,62627
2026-07-05T10:40:31Z,62628
2026-07-05T12:00:48Z,62617
2026-07-05T12:02:49Z,62594
2026-07-05T12:04:49Z,62552
2026-07-05T13:59:53Z,62735
2026-07-05T14:01:54Z,62740
2026-07-05T14:03:54Z,62749
